Category,Description,Examples,Store,Links
Groceries,Food and household essentials,"Fresh produce, packaged goods, beverages, cleaning supplies",Billa and BIllaplus ,https://shop.billa.at/aktionen
,,,Hofer ,
,,,Lidl ,https://www.lidl.at/c/lidl-plus/a10057422?tabCode=Current_Sales_Week
,,,"Spar (Euro spar, interspar, spar)",https://www.spar.at/aktionen/kaernten
,,,Penny ,https://www.penny.at/angebote
Clothing,"Apparel and accessories for men, women, and children","Shirts, pants, dresses, shoes, jackets, hats, jewelry",H&M,https://www2.hm.com/de_at/index.html
,,,ZARA,
,,,C&A,https://www.c-and-a.com/at/de/shop/sale
,,,Zalando,https://www.zalando.at/outlet-herren/
,,,Primark,
Furniture,Home furnishings and décor,"Sofas, beds, tables, chairs, lamps, rugs, artwork",Ikea,https://www.ikea.com/at/en/offers/
,,,XXXLutz,https://www.xxxlutz.at/c/aus-unserer-werbung
,,,Möbelix,https://www.moebelix.at/c/sale
,,,Kika,https://www.kika.at/sale/
,,,Momax,https://www.moemax.at/c/sale
,,,,
Electronics,Consumer electronics and gadgets,"TVs, computers, smartphones, tablets, cameras, gaming consoles, headphones",Mediamarket ,https://www.mediamarkt.at/de/campaign/abverkauf-restposten
,,,Refurbed ,
,,,,
,,,,
,,,,
,,,,
Books,Physical and digital books,"Novels, textbooks, biographies, cookbooks, e-books, audiobooks",,
,,,,
,,,,
,,,,
,,,,
,,,,
Toys,Playthings for children of all ages,"Dolls, action figures, board games, puzzles, building sets, outdoor toys",,
,,,,
,,,,
,,,,
,,,,
,,,,
Beauty,"Cosmetics, skincare, and hair care products","Makeup, moisturizers, cleansers, shampoo, conditioner, perfume",Bipa ,https://www.bipa.at/cp/aktionen
,,,Muller ,https://www.mueller.at/sale/
,,,,
,,,,
,,,,
,,,,
Home Improvement,"Tools, appliances, and materials for home projects","Power tools, paint, flooring, lighting, plumbing fixtures",,
,,,,
,,,,
,,,,
,,,,
,,,,
Sports & Outdoors,Sporting goods and outdoor gear,"Exercise equipment, camping gear, bicycles, hiking boots, athletic wear",Hervis,
,,,Adiddas,https://www.adidas.at/outlet
